date,vix,BI,close,pos,neg,seg
2020-02-10,19.33,-0.10536051565782628,4104.99,28.0,27.0,"中國,企業,疫情"
2020-02-11,17.53,-0.4946962418361071,4138.88,29.0,36.0,"中國,.%,疫情"
2020-02-12,16.43,0.1892419996385284,4184.44,26.0,25.0,"中國,億元,成長"
2020-02-13,16.52,-0.07696104113612832,4189.71,25.0,25.0,"中國,市場,疫情"
2020-02-14,15.75,-0.3053816495511819,4216.6,18.0,13.0,"u3000,中國,肺炎"
2020-02-15,,0.4054651081081644,,14.0,8.0,"指數,期貨,市場"
2020-02-16,,0.4274440148269397,,9.0,23.0,"疫情,.%,肺炎"
2020-02-17,16.2,0.0408219945202552,4187.49,18.0,29.0,"中國,疫情,u3000"
2020-02-18,17.14,-0.2876820724517809,4188.76,31.0,30.0,
2020-02-19,15.85,-0.2702903297399117,4265.5,32.0,32.0,".%,中國,美國"
2020-02-20,15.7,-0.08004270767353637,4290.33,36.0,34.0,".%,企業,疫情"
2020-02-21,16.72,-0.3513978868378886,4277.87,20.0,24.0,"台灣,內容,經濟"
2020-02-22,,0.15415067982725836,,15.0,21.0,"台灣,產品,技術"
2020-02-23,,-0.4054651081081645,,14.0,18.0,"u3000,伯克希爾,投資"
2020-02-24,18.43,-0.3646431135879093,4248.51,20.0,39.0,".%,中國,疫情"
2020-02-25,18.52,-0.10008345855698253,4229.85,39.0,39.0,"u3000,.%,美國"
2020-02-26,20.0,-0.4353180712578455,4207.6,45.0,64.0,"美國,疫情,中國"
2020-02-27,22.92,-0.6554068525770982,4123.8,39.0,35.0,"美國,疫情,.%"
2020-02-28,,-0.7172447321390059,,58.0,64.0,"美國,美股,.-."
2020-02-29,,-0.5198754592859085,,27.0,29.0,".%,市場,經濟"
2020-03-01,,-0.5179430915348547,,27.0,43.0,"市場,肺炎,疫情"
2020-03-02,25.25,-0.040821994520255166,4116.78,37.0,56.0,"疫情,市場,因為"
2020-03-03,22.91,-0.2029408439966903,4171.97,36.0,50.0,"經濟,疫情,美國"
2020-03-04,22.55,-0.20359895524123955,4153.95,31.0,35.0,".%,疫情,市場"
